ProductId,Title,Description,Price,Discount
1,Bluetooth Speaker,Portable Bluetooth speaker with deep bass,971.18,37
2,Smart Light Bulb,Wi-Fi enabled LED bulb with color control,423.21,31
3,Wireless Mouse,Ergonomic wireless mouse with 2.4 GHz connection,841.2,9
4,Power Bank,"10,000 mAh power bank with fast charging support",260.46,25
5,Phone Screen Protector,Tempered glass protector for smartphones,619.77,36
6,HDMI Cable,6-feet high-speed HDMI cable with gold connectors,446.38,39
7,USB-C Hub,"7-in-1 USB-C hub with HDMI, SD, and USB ports",776.04,29
8,Smart Door Lock,Fingerprint smart lock with remote access,690.91,31
9,Bluetooth Keyboard,Ultra-slim Bluetooth keyboard for tablets,724.68,26
10,Laptop Cooling Pad,Silent cooling pad for laptops with dual fans,194.28,43
11,HDMI Cable,6-feet high-speed HDMI cable with gold connectors,162.15,13
12,USB-C Hub,"7-in-1 USB-C hub with HDMI, SD, and USB ports",49.77,22
13,Bluetooth Keyboard,Ultra-slim Bluetooth keyboard for tablets,805.77,35
14,Tablet Cover,Protective cover for 10-inch tablets,357.18,34
15,Wireless Earbuds,True wireless earbuds with noise reduction,373.48,37
16,Wireless Charger,Fast wireless charger for Qi-enabled devices,108.75,49
17,Smart Door Lock,Fingerprint smart lock with remote access,115.36,11
18,Smart Door Lock,Fingerprint smart lock with remote access,18.07,44
19,Wireless Mouse,Ergonomic wireless mouse with 2.4 GHz connection,955.46,31
20,Fitness Tracker,Waterproof fitness tracker with heart rate monitor,664.97,18
21,Smart Door Lock,Fingerprint smart lock with remote access,538.94,41
22,Gaming Mouse,Wired gaming mouse with customizable DPI,687.35,26
23,Bluetooth Keyboard,Ultra-slim Bluetooth keyboard for tablets,962.45,8
24,Smart Door Lock,Fingerprint smart lock with remote access,667.73,29
25,Bluetooth Keyboard,Ultra-slim Bluetooth keyboard for tablets,104.08,15
26,Tablet Cover,Protective cover for 10-inch tablets,775.48,50
27,HDMI Cable,6-feet high-speed HDMI cable with gold connectors,702.54,20
28,VR Headset,Virtual reality headset compatible with most phones,621.35,43
29,Smart Door Lock,Fingerprint smart lock with remote access,242.61,47
30,Wireless Charger,Fast wireless charger for Qi-enabled devices,845.62,46
31,Smartphone Stand,Adjustable stand compatible with all phones,160.14,39
32,Fitness Tracker,Waterproof fitness tracker with heart rate monitor,322.47,7
33,Wireless Charger,Fast wireless charger for Qi-enabled devices,557.28,8
34,Smartphone Stand,Adjustable stand compatible with all phones,375.97,38
35,Wireless Mouse,Ergonomic wireless mouse with 2.4 GHz connection,390.53,27
36,Smartphone Stand,Adjustable stand compatible with all phones,721.43,16
37,Smartphone Stand,Adjustable stand compatible with all phones,622.93,10
38,Phone Screen Protector,Tempered glass protector for smartphones,877.21,5
39,Laptop Cooling Pad,Silent cooling pad for laptops with dual fans,529.13,26
40,Portable Projector,HD portable projector with HDMI input,761.41,22
41,Smart Light Bulb,Wi-Fi enabled LED bulb with color control,265.19,11
42,Tablet Cover,Protective cover for 10-inch tablets,740.55,19
43,Smart Door Lock,Fingerprint smart lock with remote access,124.22,19
44,VR Headset,Virtual reality headset compatible with most phones,776.72,9
45,Laptop Cooling Pad,Silent cooling pad for laptops with dual fans,996.09,13
46,Noise Cancelling Headphones,Active noise-cancelling over-ear headphones,931.74,39
47,VR Headset,Virtual reality headset compatible with most phones,58.01,5
48,Bluetooth Speaker,Portable Bluetooth speaker with deep bass,586.17,9
49,Portable Projector,HD portable projector with HDMI input,441.99,16
50,Phone Screen Protector,Tempered glass protector for smartphones,590.49,41
51,Noise Cancelling Headphones,Active noise-cancelling over-ear headphones,635.99,40
52,Mechanical Keyboard,RGB mechanical keyboard with blue switches,743.99,40
53,Smart Light Bulb,Wi-Fi enabled LED bulb with color control,964.38,23
